Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YALI0D25740g,210.81277969999996,192.8366105,179.02149430000003,181.63037340000002,180.29716200000001,213.34434680000004,181.286834,233.79454790000003,169.4327736
YALI0D25762g,16.0759533,17.48271012,18.64560829,13.01987923,15.34011863,20.82142124,20.77531602,17.06686254,17.1307276
YALI0D25784g,18.35496568,19.32595514,16.40578759,20.15235746,27.88656927,34.13810638,31.43767401,30.44335082,28.99731822
YALI0D25806g,47.29572358,48.82761269,31.19135152,30.98656976,17.16122695,18.31407004,18.24585958,14.49954803,19.73166387
YALI0D25828g,7.233797715,8.533609454,7.400554895,5.64160855,4.057736135,7.430858314,8.303795945,5.128613988,4.985145223
YALI0D25850g,15.58680258,16.98962442,19.062175500000002,14.43894933,8.420295266,17.1389477,19.27996756,10.51416249,10.2078903
YALI0D25872g,32.68592779,29.04107878,89.8868535,97.87384014,45.24032739,46.50684868,36.89357057,67.83099527,44.96581483
YALI0D25894g,62.38801347,55.67085992,47.6604776,56.34650313,63.52693967,77.45415454,71.15432611,70.63725342,61.57828011
YALI0D25916g,0.158022883,0.16314118,0.7050421109999999,0.171229181,0.663965935,0.507678226,0.39243187,1.315102175,0.487304886
YALI0D25938g,17.62200203,16.36279967,36.69764069,20.2546097,11.5005265,19.06855005,20.89088511,27.22826971,14.94824749
YALI0D25960g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D25993g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26015g,69.8467907,67.94271594,63.62024434,42.65035552,29.09799927,46.21127175,36.40691308,35.20325441,33.27914008
YALI0D26026r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26037r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26081g,0.247767093,0.073083476,0.0,0.038353357000000005,0.178464832,0.132666396,0.138128889,0.220925763,0.062371805999999995
YALI0D26103g,66.78595249,73.16914069,67.60807233,53.4821184,52.43106033,73.33037282,70.56701494,53.18678871,59.09863875
YALI0D26125g,28.55164936,25.96020223,27.41737726,21.59362083,28.4994609,28.94617028,25.65734828,27.44011268,24.58150387
YALI0D26147g,171.93654719999998,208.511581,194.0449751,179.54001340000002,124.63424099999999,116.50741670000001,129.2523175,94.63488181,128.0963094
YALI0D26169g,13.40045501,13.88029983,14.49168079,11.39511588,10.40333582,13.30509362,12.57782738,7.9625326979999995,10.12570117
YALI0D26191g,24.17809972,28.65846725,46.79236304,37.57896787,19.28871341,18.81806779,22.38220732,16.75509911,23.36268306
YALI0D26213g,15.05495081,14.03932032,20.20896184,14.481771599999998,6.423976147,8.854727452,11.23554941,6.8974805539999995,6.391719684
YALI0D26235g,29.24432779,30.83766203,21.34860963,17.04635221,19.30398056,25.483658399999996,23.24281443,20.005285399999998,18.53529262
YALI0D26257g,0.037224235,0.19214956600000002,0.066432539,0.161340566,0.437934978,0.358769567,0.51503488,1.045536208,0.36077066
YALI0D26279g,75.48121742,82.55916061,92.20176540000001,98.72137163,76.58400018,73.47885853,79.87492203,78.71833649999999,83.96442988
YALI0D26301g,139.5924602,154.50714019999998,99.37210065,103.57551579999999,153.4127054,150.0447301,145.88155930000002,157.9550554,109.82353640000001
YALI0D26315g,54.17273678,55.67085992,75.33130411,63.31165349,38.56607894,46.13431745,43.51605685,41.288441799999994,39.48919064
YALI0D26323g,8.776854311000001,7.164616811,7.8318427879999994,8.51508448,9.776898392,10.49201668,13.32399636,13.16472073,10.61048377
YALI0D26345g,49.09420846,50.72121111,47.59959235,40.97144886,46.29662181,54.90720099,50.18665887,53.89450703,46.33861519
YALI0D26367g,179.5666697,203.32829040000001,200.020447,206.5880069,184.7817197,170.72090580000003,194.96389059999998,143.8119024,182.3912574
YALI0D26389g,113.88452579999999,112.60227330000001,164.76291809999998,187.711819,170.8208428,170.04689430000002,192.28442909999998,202.09860769999997,186.75558130000002
YALI0D26411g,2.664807187,1.814567983,4.098057273,4.730602489,1.286433999,1.9429660519999998,2.896520948,3.067049632,2.09811826
YALI0D26433g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26444g,1.4955737169999999,1.204137279,1.2002502609999999,1.488063121,1.636201768,1.48072816,1.3748463480000002,1.095918479,1.168537227
YALI0D26466g,1.1685852540000001,1.206435251,0.667368106,0.911697357,2.081862655,1.35154795,1.293484545,1.4101584630000001,3.047648333
YALI0D26488g,229.54455099999998,249.1007653,110.3606088,115.691903,60.04898379,70.35490538,67.05159982,41.94839488,43.85868957
YALI0D26510g,93.6678608,95.68244185,158.0364591,160.81371819999998,91.36991257,70.68163895,85.79266505,75.39139021,95.96538945
YALI0D26532g,10.52500485,10.06314726,12.61321936,9.35839305,14.46873613,12.87710664,11.46785845,13.23116545,10.79032248
YALI0D26554g,175.855051,186.6972495,240.0349526,243.69935049999998,221.2149319,195.90150490000002,204.0300622,177.3043964,214.83044049999998
YALI0D26576g,29.59636919,35.12067064,24.68953024,25.31179514,70.99209846,63.26783206,53.66609645,66.76731122,52.55286688
YALI0D26598g,31.45487077,26.11868822,19.03799238,19.03234877,20.66419245,32.92560497,29.20150461,25.01073429,23.11400657
YALI0D26620g,43.42834371,38.96551863,31.18606383,21.76196306,23.38896536,39.32421196,39.78686961,25.71303087,30.62976277
YALI0D26642g,12.69592163,12.67435449,14.08101831,11.64798017,31.95640447,30.01383744,34.24835037,28.03434495,30.97271049
YALI0D26664g,61.86190695,68.72845086,44.94553071,54.03378283,58.16001095,68.13085190000001,60.64869246,78.66165636,56.22034686
YALI0D26686g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26730g,17.93204766,18.26041125,13.71019494,14.52883874,16.07935474,24.41881586,23.95774647,10.91701654,19.56980283
YALI0D26752g,44.70832981,52.58611471,43.79745682,36.68897616,35.83637568,48.75366446,45.93729301,36.33091006,39.18193962
YALI0D26774g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26796g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D26818g,28.69737667,31.78695934,83.46847687,79.10157459,30.26144429,33.32202006,35.52097162,33.70722306,31.102512599999997
YALI0D26840g,99.31449977,107.9033617,92.81894527,91.09778246,77.73815753,89.10333907,86.89562843,78.05332482,77.708846
YALI0D26862g,25.627051100000003,27.14396782,27.17745829,23.01602704,25.01428202,32.11464864,31.92583853,23.96770406,26.94323983
YALI0D26884g,57.67330375,62.12655886,58.44641427,62.9595475,79.50408714,78.85772920000001,76.09613978,65.40978937,84.84020325
YALI0D26906g,117.54852849999999,122.6784129,217.83146269999997,209.492455,112.2157992,106.23715630000001,115.65480919999999,110.28940690000002,139.2809408
YALI0D26928g,42.91604374,41.06416875,32.97126421,33.79946953,50.22590177,48.20050398,36.09510719,49.65353724,44.36021463
