Gene,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2
YALI0B09405r,0,0,0,0,0,0,0,0,0
YALI0B09427g,18.24943077,22.79621023,21.10358588,23.39606823,15.66869007,7.463842575,7.593956239,6.117539774,7.548109093
YALI0B09449g,8.834365576,7.688309449,16.27144779,9.335481385,4.856333871,2.3467051,2.858738635,3.648268593,6.240585387
YALI0B09471g,403.7605898,570.5109152,583.7787363,1050.874016,329.4192165,191.2488801,201.9758619,199.9747182,171.9477409
YALI0B09493g,0,0,0,0,0,0,0,0,0
YALI0B09515g,100.6416263,102.8712653,94.5481845,115.2455397,80.379299,90.90994605,135.5273798,129.8634676,130.4328427
YALI0B09537g,371.7763072,214.904447,249.3611165,96.18262098,123.2180127,103.6309771,129.8136162,88.57294237,109.1257929
YALI0B09559g,66.64967053,74.03692813,82.14188044,54.87123675,85.08673778,58.75847684,64.2051093,69.16147465,82.53893298
YALI0B09581g,42.49144029,36.83152209,41.20417293,43.67506232,43.18181312,71.91366351,80.36038426,114.4084153,173.4883282
YALI0B09603g,103.5561898,103.0745113,102.1180632,51.1695944,29.60506884,56.45361241,76.27777434,93.81462024,122.3811408
YALI0B09625g,151.8402645,167.4366682,147.0221686,331.7433708,152.4376124,139.3776847,87.38806747,99.63080801,206.1449949
YALI0B09647g,89.64657257,83.45391365,71.10991714,46.84113347,32.31933652,60.34440672,85.15442038,52.51639374,57.73697543
YALI0B09669g,26.262455,20.02762295,18.57646165,26.20098308,28.59520006,25.5705344,18.72424183,18.45131526,11.80344828
YALI0B09691t,0,0,0,0,0,0,0,0,0
YALI0B09713g,4.09239718,6.485961626,4.97222556,7.855760969,5.140141208,5.040808398,8.161915554,8.282820592,10.33912411
YALI0B09735g,14.42707046,15.04685731,13.3174438,12.59185092,4.509606729,9.564447206,10.79292632,10.85071835,10.52563296
YALI0B09757g,29.13983291,25.16277699,25.16341465,29.0548893,25.15873721,21.52829417,26.7175189,31.09385839,35.15843632
YALI0B09779g,127.9286357,126.1035663,125.690895,143.256126,447.8069263,169.8203084,112.700591,120.7422919,98.93782609
YALI0B09801r,0,0,0,0,0,0,0,0,0
YALI0B09812g,121.5432704,145.0814234,156.8263139,203.9167143,124.7850683,116.5372612,106.9911939,91.07715984,62.35727168
YALI0B09845g,202.3815636,275.5280685,253.3752533,203.8603777,150.677424,182.0962943,248.3829855,223.6199113,252.9018324
YALI0B09867g,4.098672374,6.095946753,4.834380935,3.727341383,1.541127902,2.319116334,4.439505268,6.242998269,14.97017149
YALI0B09889g,21.85177332,22.96784295,19.71524715,29.60672371,37.11218402,25.40036712,29.76091874,32.26942256,36.35644823
YALI0B09911r,0,0,0,0,0,0,0,0,0
YALI0B09955g,0.086197904,0.394660938,0.18779114,1.070174222,0.938309413,0.317021994,0.021244115,0.476913128,0.45767393
