Gene,WT_NoIL_Shock_rep1,WT_NoIL_Shock_rep2,WT_NoIL_Shock_rep3,WT_NoIL_Early_rep1,WT_NoIL_Early_rep2,WT_NoIL_Mid_rep1,WT_NoIL_Mid_rep2,WT_IL_Shock_rep1,WT_IL_Shock_rep2,WT_IL_Shock_rep3,WT_IL_Early_rep1,WT_IL_Early_rep2,WT_IL_Early_rep3,WT_IL_Mid_rep1,WT_IL_Mid_rep2,MT_NoIL_Shock_rep1,MT_NoIL_Shock_rep2,MT_NoIL_Shock_rep3,MT_NoIL_Early_rep1,MT_NoIL_Early_rep2,MT_NoIL_Early_rep3,MT_NoIL_Mid_rep1,MT_NoIL_Mid_rep2,MT_IL_Shock_rep1,MT_IL_Shock_rep2,MT_IL_Early_rep1,MT_IL_Early_rep2,MT_IL_Mid_rep1,MT_IL_Mid_rep2
YALI0E18810g,0,0.584089464,0.663644087,0,0,0.210156783,0,1.669220523,2.478878904,3.687521145,3.190980109,3.130723785,2.234533993,2.263830084,4.198795821,3.110159434,1.625304337,4.190324103,0.197912923,0.378317909,0,0.122500503,0,0.278114797,4.611439403,0.64483024,0.224697368,0.56047483,1.383080557
YALI0E18832g,32.85940076,29.92379519,34.94393058,23.9908058,24.20731151,32.60501397,28.00046972,4.068522569,4.468404227,6.466785851,27.75246974,30.47443448,29.08604146,14.54575882,27.37772824,32.39877085,27.90700196,27.33088345,29.31971085,31.4415935,30.99134728,27.55114762,32.01660545,19.09264935,16.21674099,25.81184508,38.16091853,35.55748033,28.04769274
YALI0E18854g,195.9465072,171.5893156,211.7769267,216.5602668,198.7225917,229.2495528,190.8374465,197.0970255,197.2762618,223.8243793,132.0342222,143.1979213,133.8646299,147.2212645,281.0539059,307.1818189,346.3317703,332.6566687,163.652105,183.868081,190.7647273,152.5363021,222.3813881,77.95960936,98.15244613,158.9394052,108.9765673,113.1415529,93.52275187
YALI0E18876g,55.57317228,64.80553724,56.0479692,20.18804062,27.72337939,21.85630546,20.49287783,38.05696335,39.61041915,34.76256913,51.29785434,30.9202456,28.64548439,34.41139636,33.90845716,55.63072314,44.3788118,48.14085386,44.38197296,43.75088986,43.51570142,38.95005578,40.51990889,34.64846851,31.91713846,37.61778412,41.80775405,35.06470654,27.15736302
YALI0E18898g,18.01260648,18.22359127,22.09487545,16.65695035,17.10664535,22.88343238,17.8242092,19.80045471,20.17659929,24.27718839,34.28721827,40.96925593,40.6367712,26.48681198,18.81844804,18.42834121,18.03676038,17.31498352,10.10588807,15.30802434,14.3259077,11.77932706,14.61705433,37.34823372,33.20535026,16.19024262,22.04047889,23.41130928,44.27218189
YALI0E18920g,12.20540838,16.7830986,9.650305516,9.452207702,10.22506505,11.44155588,8.772622553,10.90951204,8.074379606,11.18630576,10.73858119,12.60133833,9.531345594,18.36893001,17.65082563,19.34887632,16.3462579,18.20917631,18.54537067,23.01730169,22.04466278,15.64717835,16.11306545,8.444237205,8.762078746,13.72752698,17.09509641,20.4404042,15.62695381
YALI0E18942g,58.97232707,61.2265913,66.22619646,15.71911839,15.43401424,29.11081771,24.08473612,33.65338193,29.81201431,29.14957292,24.7910441,19.75314846,21.13048859,23.48387405,35.78859399,56.44433143,55.75252946,50.98063188,13.50646494,19.70593116,23.36887529,10.72846511,13.19020744,37.8122801,37.48537977,12.86595073,15.86996691,19.29784304,22.8642706
YALI0E18964g,243.5304665,202.5558967,233.6808864,247.4886834,281.2830645,237.8321295,205.4780424,102.8321346,93.01976055,126.0272244,124.5529258,164.9836122,130.2013038,151.9325964,180.0424225,191.9669339,214.6425046,199.6415032,205.4657836,212.5745605,224.8846582,184.0329819,257.0613221,75.3248869,104.0021109,127.8686973,158.872949,181.9226039,216.1417693
YALI0E18986g,314.876486,310.8002101,433.8802645,1025.546948,1298.40966,1043.42384,1375.297453,1832.402567,1838.021954,1604.828526,2083.867271,2081.866606,2319.23595,1368.228257,612.3674509,464.304819,483.2063992,494.4499804,1399.819955,1335.011762,1346.483811,1420.54365,1641.306999,2529.771061,2864.507123,288.0459497,513.4697909,840.7416145,1285.494862
YALI0E19008g,51.68476603,59.16224479,54.6714021,77.8226786,80.55021596,113.0368379,86.90814913,43.32799849,46.82126505,40.57614176,74.3456924,77.66927255,59.34200013,98.5095371,85.49442308,78.67793677,79.26327176,82.55798666,64.6304441,71.77493228,67.17822038,70.39457999,67.62589378,64.99997913,78.02617577,81.01131269,112.8912261,110.8293119,117.164526
YALI0E19030g,2.539192369,2.006601641,2.487170632,8.826503392,9.909724365,13.29099656,13.74846915,1.421776694,1.03224587,0.797301869,2.989747129,3.12884347,1.395744957,11.40072988,1.788184953,6.588226486,3.460926517,3.419479826,2.225183133,5.080593662,5.010198396,4.361459352,4.082824721,4.429792449,4.000581397,10.7541418,7.78950876,15.36003993,26.24115003
YALI0E19052g,95.48108101,115.2543985,104.6219342,108.4048996,113.2621597,79.90432584,85.22232593,67.56736954,76.13205779,61.86062088,42.63191024,51.33593415,39.76281022,99.70320861,106.2630608,97.90857994,108.208302,103.9640328,64.37061379,70.91087319,58.87757029,76.48875517,64.20857292,24.74481468,26.20487295,49.16205363,40.60614643,49.86734227,37.19066806
YALI0E19074g,25.6018667,23.02219293,27.45789531,70.12536034,76.20704425,38.47308563,34.99349786,69.01800721,71.61205722,68.69902407,38.80381682,49.80566971,40.32364539,78.00910379,51.25354501,39.92637072,45.78379092,40.10341998,35.7734386,39.52472037,38.32930459,41.97236414,30.15377788,52.49893026,51.28032919,41.29386856,42.89565098,52.10112596,40.88613482
YALI0E19096r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YALI0E19140g,0,0,0,0,0,0,0,1.17909412,2.140130446,0.508623606,0.27246464,0.249498294,0.148398171,0.676546922,0,0.080823733,1.413012757,0.161584615,0,0.301494732,0,0,0.124026695,0.498688602,0,0.077083155,0,0.167498225,0
YALI0E19162g,9.572402441,7.725712009,9.064837604,11.45271832,13.49474547,20.35743164,18.03564223,8.815724619,11.00075493,10.04182816,18.79802176,20.1906961,21.12064937,17.76062206,15.49299496,12.73064501,11.45782446,10.13147625,13.88450461,16.54912855,17.29244675,15.21816723,16.14512091,14.7144228,10.85244998,12.44248993,21.41629279,27.10965037,32.19370055
YALI0E19173r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YALI0E19184g,89.54491933,83.6334889,84.58001389,71.11393299,82.57020493,90.05669418,83.04090035,27.40016644,27.59041223,32.80310221,79.72975628,93.88329976,77.58265468,80.57082378,76.7164256,67.83615282,71.45900253,71.71234259,101.8413762,115.8828759,111.1517701,90.2941438,97.046704,41.83324297,48.11153184,106.2711883,125.4803842,107.7280762,90.56207843
YALI0E19206g,149.0261684,126.3308717,173.0974147,36.20360918,34.75687087,26.25368962,28.17947966,754.5674796,699.0021522,401.4843739,117.6721589,110.0019092,93.10063721,206.7120386,213.7507952,205.2349657,218.5595778,205.93927,134.1171509,141.1301646,140.0369789,154.3018289,129.3978911,1503.92959,1595.093963,268.6234327,80.25366396,64.03704051,81.23256403
YALI0E19228g,18.90758364,15.07547696,22.1386931,23.89759687,21.96451869,31.9867828,24.37724441,9.445993773,4.530203133,6.818773894,23.0123237,25.50892412,26.13540921,37.73600951,23.27773025,24.26009902,28.37757646,26.3371128,22.06030857,27.53835278,28.41550477,24.20919917,25.78125711,15.4824004,14.1322728,25.2258845,35.33707806,30.31473349,29.57302174
YALI0E19250g,4.326991078,6.176163493,5.018755026,4.70484154,4.539922985,13.2277061,8.0185171,6.36752848,7.244154051,4.584485748,7.321829703,8.171309956,10.16899897,11.53329651,5.326236609,5.592752704,6.733974166,4.912109909,4.072879842,7.34238619,8.354058486,4.254882338,5.145192378,39.1980794,36.79391862,5.670522603,9.29327493,9.199144793,11.14207561
YALI0E19272g,7.748845537,8.949584417,10.04143613,18.97911577,19.41920839,47.96915659,53.77755155,98.87553568,88.22921967,74.93205951,66.46406083,94.56054264,89.66119088,126.4180253,39.25905726,18.22017014,23.00732167,22.83431648,26.89428868,27.86036197,29.62132748,24.56507325,29.12194768,952.3326744,919.2381216,22.60112178,47.60853075,48.30611793,71.27449666
YALI0E19294g,26.52151065,27.49815938,27.41346993,38.70929991,36.86348887,55.50056129,34.69636224,6.100346091,5.389276826,5.331558509,0.810869681,0.495013719,0.471083817,0.872490956,7.514046964,12.84461462,10.02240121,11.33284844,13.74152075,31.95758216,24.99859413,26.46793081,22.13431031,51.54859356,51.52566373,1.345834973,1.27900714,0.448635497,0.348529992
YALI0E19316r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YALI0E19338g,4.376281716,4.874978602,5.070115015,1.358172981,2.181143451,2.807136862,2.490532495,516.4138226,507.9772431,550.590598,452.338822,498.5671198,1025.802425,235.1035823,41.16520408,6.691745466,4.180274353,5.210069999,5.726155506,8.801359963,10.01564779,6.617581678,7.854945652,93.92740738,87.48281798,365.899782,660.9859647,748.4384312,1285.820497
YALI0E19360g,344.1855104,324.2899316,359.9212257,497.7905184,527.7653419,650.4922199,598.6657317,170.6179425,148.953079,162.611488,506.9059309,483.8104585,584.1347727,605.207304,383.0828624,436.5882549,412.6762633,414.5194763,495.4314617,564.3830639,552.7527475,486.5284424,525.6325756,461.8831671,473.2741134,450.0032373,621.2133236,574.6037775,502.2826086
YALI0E19382g,30.71326106,30.82784949,33.40376201,27.75935317,29.08971641,26.80362421,18.96927307,33.93681775,36.3278529,28.53969854,31.71615135,34.73016252,35.10893651,23.49820529,41.05173623,48.9491085,51.07876814,52.6352489,19.80111123,41.64273287,42.35656679,19.94953929,31.86909197,28.69972235,25.08792505,23.41463578,20.2164925,27.29208287,28.40568704
