Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0E13706g,case_overexpressed,,0.0012224938875305623,0.0,1.1595035896451173e-10,lightblue,circle,30,2
YALI0F11891g,case_overexpressed,,0.0012224938875305623,0.0,1.1595035896451173e-10,lightblue,circle,30,2
YALI0E14729g,control_overexpressed,,0.0018337408312958435,1.944026977112821e-05,2.876808554610446e-27,orange,circle,30,2
YALI0E15268g,control_overexpressed,,0.0006112469437652812,0.0,1.954293628514194e-11,orange,circle,30,2
YALI0F01540g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0E15576g,control_overexpressed,,0.0012224938875305623,0.0,9.200340617762261e-11,orange,circle,30,2
YALI0E15884g,control_upregulated,,0.0006112469437652812,0.0,1.1765053764207199e-07,red,circle,30,2
YALI0E16016g,changed_regulation,,0.0012224938875305623,0.0,6.276131639376904e-14,green,circle,30,2
YALI0E18568g,changed_regulation,,0.0012224938875305623,0.0,6.276131639376904e-14,green,circle,30,2
YALI0F09383g,changed_regulation,,0.0006112469437652812,0.0,0.0012580353300118711,green,circle,30,2
YALI0E16687g,control_upregulated,,0.0006112469437652812,0.0,5.79055733935739e-08,red,circle,30,2
YALI0E21527g,control_upregulated,,0.003056234718826406,0.001012763284807429,3.662627739503375e-07,red,circle,30,2
YALI0E20273g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0F03883g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0E34199g,case_overexpressed,,0.0018337408312958435,0.00010297135022217013,7.608010072104807e-07,lightblue,circle,30,2
YALI0E20647g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0F28457g,control_overexpressed,,0.0006112469437652812,0.0,1.3323477237436585e-11,orange,circle,30,2
YALI0F17666g,control_overexpressed,,0.0,0.0,3.040391144120668e-43,orange,circle,30,2
