Gene,FC_t1,FC_t2,Z,Class,Feature
YALI0A02090g,0.3236092739745833,-0.25932021739722094,-0.5460022678419112,no_change,
YALI0A02112g,-0.7360718813688638,0.03923834015889465,0.5258363481439807,no_change,
YALI0A02134g,-0.9828044628399656,-0.4890007032921409,0.46814148394388566,no_change,
YALI0A02156g,1.6281152739225797,-1.5200601309576052,-3.0363902508029663,changed_regulation,
YALI0A02178g,1.303456993149228,-0.8521763985290006,-2.102088040226332,changed_regulation,
YALI0A02200g,-0.9207607197072688,-0.05448327708030528,0.7938655370033636,no_change,
YALI0A02222g,-0.09902646907592166,0.5997886500383917,0.6667108772151044,no_change,
YALI0A02244g,0.5935221967239579,0.12511854913429205,-0.4452603067590408,no_change,
YALI0A02266g,0.2064852049104817,-0.1406731685242111,-0.2331488739519099,no_change,
YALI0A02288g,-1.323618508926349,1.380633521717107,2.452851285669046,changed_regulation,
YALI0A02310g,1.3396637058063479,2.0997929061495046,0.7471432835247444,case_overexpressed,
YALI0A02332g,-1.7012581831779918,-1.2833470461714842,0.1536180870349234,control_overexpressed,
YALI0A02354g,-2.426733418280333,0.689280618782608,1.9646093027188163,changed_regulation,
YALI0A02365g,0.0,0.0,0.0,no_change,
YALI0A02409g,-1.1420896484526355,0.03460719093866548,0.7661858231860609,no_change,
YALI0A02416g,-1.3337958129891088,-0.08914641713457414,0.8230633748844789,no_change,
YALI0A02423g,-2.454453682447248,0.8317584131841663,2.801533447761627,changed_regulation,
YALI0A02431g,-0.9043334126176799,-0.1997265931694914,0.6691659857136851,no_change,
YALI0A02453g,-1.5090589249436774,-1.4293383512381532,0.007659424922341674,control_overexpressed,
YALI0A02475g,0.0,0.0,0.0,no_change,
YALI0A02497g,0.028232254455888065,1.5590881389191176,1.50555375814797,case_upregulated,Mutated_Gene
YALI0A02541g,1.5760521505296283,0.40235448064165275,-0.9343595678880215,no_change,
YALI0A02563g,0.1567932639389357,-1.0155400493436508,-1.1033126949358845,no_change,
YALI0A02585g,-2.829113882200967,-1.8231880399122875,0.34276239477140413,control_overexpressed,
YALI0A02607g,3.9873318565118967,0.8121695557304368,-1.2010380208203153,no_change,
YALI0A02629g,0.0,0.0,0.0,no_change,
YALI0A02651g,-0.031260115397580425,-1.6555786152077707,-1.5653034448531786,control_upregulated,
YALI0A02673g,5.5794195758521505,1.093432327870006,-2.9003921228742953,case_overexpressed,
YALI0A02695g,-0.12612836615150613,0.4081251776568595,0.5290390832937447,no_change,
YALI0A02717g,-1.3649573765963745,0.9322381097110916,2.25135392972003,changed_regulation,
YALI0A02739r,0.0,0.0,0.0,no_change,
YALI0A02783g,-4.823721301323503,-1.5489051050308549,0.6568150364116209,control_overexpressed,
YALI0A02805r,0.0,0.0,0.0,no_change,
YALI0A02849g,-0.14936375802975357,-1.0743183586072054,-0.907943539288361,no_change,
YALI0A02871g,1.055246058489648,-1.251110733944753,-2.126539474030521,changed_regulation,
YALI0A02893g,-1.4345457803023993,-0.8264479569078037,0.1764309653862799,no_change,
