Gene,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t2_rep1,WT_t2_rep2
YALI0E27742g,865.9799251000001,848.8487962000002,914.7767805999999,790.831971,828.5590175,657.1158565000001,573.5647328,563.205654,737.4369730000001
YALI0E27764g,111.41471340000001,119.05524479999998,96.74379965,101.1182671,101.46899549999999,116.24139790000001,120.56428559999999,118.46777240000002,111.01014350000001
YALI0E27786g,4.4720602519999995,7.269886209,5.736563771,6.423257575,5.229849892,52.82794192,56.33832729,79.47814104,57.29574943
YALI0E27808g,466.4458335,458.5757045,462.7618173,396.94006139999993,527.800161,491.65903480000003,330.08043369999996,342.4858375,289.09095560000003
YALI0E27830g,1669.900814,1338.778538,1493.0795130000001,1534.9052390000002,1654.305664,2442.4962140000002,2199.065334,1715.893691,1110.267917
YALI0E27852g,1.559857253,2.467634585,1.831771958,2.064154818,1.673063938,0.934666828,0.651387492,1.675565867,1.75415095
YALI0E27874g,39.20198281,52.28547513,51.10902642,34.62052679,45.826946500000005,71.36782685,63.364657799999996,55.98281281,68.03692432
YALI0E27896g,133.53291670000002,121.40917639999999,124.0696504,115.61201000000001,128.8122729,68.45367990000001,54.00941551,84.47123140000001,279.92173130000003
YALI0E27918g,47.45242392,57.13076299,53.97161261,48.87192239,47.75481163,58.67955183,63.69852417,68.72029476,80.67698084
YALI0E27940g,260.20341129999997,220.5128809,228.5319847,233.7051702,279.8931017,229.8582236,126.8712297,139.5877313,108.97218909999998
YALI0E27962g,647.1806069,950.6174741000001,1027.178741,448.0969077,650.70019,296.6149392,66.98714375,95.65563328,121.16284089999999
YALI0E27984g,2.01264674,1.824468626,0.9810796759999999,0.898995627,1.80563864,0.730114239,0.42402567799999996,1.028290514,5.220013715
YALI0E28006g,0.302690353,0.642893179,0.170383585,0.312256184,0.105787475,0.065747397,0.28637899899999997,0.142866133,0.528824919
YALI0E28028r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E28072r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E28116r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E28153g,28.88591304,35.462790500000004,33.06523644,24.89041438,28.57867433,24.13233791,33.40516997,37.88182407,63.15273859
YALI0E28182g,52.83935762,55.83251733,55.21596504,50.77820852,47.78571383,72.84886728,79.65329101,85.22740397,66.68028948
YALI0E28204g,28.98959209,36.4967436,33.26539293,29.73367153,26.82715507,38.88963861,39.86284264,46.55120442,44.26530269
YALI0E28226g,38.89403984,42.79028878,33.0126659,45.53232826,30.67976899,41.74742003,40.80464523,50.89061964,39.0163056
YALI0E28237g,84.89891371,110.93730330000001,111.06770859999999,74.48248849,85.0248573,71.33402215,102.8423339,113.17097779999999,140.71689530000003
YALI0E28248g,76.8158431,87.37057055,83.64485672,63.01284869,70.95219241,57.50957926,80.23474221,90.99853208,114.1538971
YALI0E28259g,12.06586371,11.75829455,12.28524402,8.054056062999999,15.62736359,11.87080589,7.25230126,14.23734912,89.48690179
YALI0E28270g,188.6769865,242.9208329,204.1300742,174.20160880000003,131.89407920000002,48.25723378,66.25097657,71.60980815,54.31086435
YALI0E28292g,79.17902740000001,73.32358484,73.18627436,64.84324221,70.10167929,70.08528653,93.78091291,101.1135838,90.68710917
YALI0E28314g,1.095751715,1.7249401119999999,2.049938625,0.90430434,1.171392002,0.0,0.048786067,0.3650692,1.651611855
YALI0E28336g,35.34477412,41.27133124,48.77017146,86.63235576,31.15705616,13.32864106,26.03399881,38.93548583,46.07387105
YALI0E28358g,11.67858343,15.42440496,14.92337966,15.925065400000001,12.54961419,17.02800411,24.99416289,28.51111091,23.80401906
YALI0E28371g,27.72057778,43.71169967,36.50016835,24.83429553,27.41089984,38.33679212,47.96201563,61.74779611,55.39014553
YALI0E28402g,0.642324882,1.1459726959999998,1.31367871,0.812818872,1.017672578,0.316244068,0.29170143800000004,0.848874499,0.8229425229999999
YALI0E28424g,601.5062687999999,627.6694683999999,691.2802817,581.920625,599.7515123,756.5421478,393.75966780000005,296.3329332,248.8650068
YALI0E28446g,1.5583301440000001,1.9238122069999999,1.67212408,0.80378879,1.56578812,1.4385613430000002,0.755606922,0.919390888,0.113438784
YALI0E28468g,243.17823399999997,263.98422850000003,260.10427549999997,211.4194417,227.18169680000003,326.3955898,327.24270789999997,282.1547025,196.70325580000002
YALI0E28490g,98.00421756,127.96513200000001,103.3064885,103.012423,91.53276411,99.25227052,70.27249689,99.54993791,75.61894154
YALI0E28512g,15.5894487,23.7079223,23.97342412,20.90047044,14.90852248,39.26520137,49.191439200000005,71.67610804,77.66529282
